idx,unique_carrier,yearmonth,total_departures_scheduled,total_departures_performed,agg_seat_count,total_passenger_count,total_miles_traveled,total_minutes_r2r,total_air_minutes,year,month,carrier_name,total_fuel_cost,full_date,month_stock_price_max,month_stock_price_min,month_stock_price_open,month_stock_price_close,month_stock_price_volume,adj_month_stock_price_close,stock_symbol
11,AA,2010-12,45812.0,44707.0,6910081.0,5443753.0,799570.0,7405923.0,6389598.0,2010,12,American Airlines Inc.,494827942.0,2010-12-01,11.43000030517578,9.800000190734863,11.34000015258789,10.010000228881836,91317200.0,9.471714973449707,AAL
12,AA,2011-01,46273.0,44792.0,6917564.0,5040076.0,784788.0,7431266.0,6404600.0,2011,1,American Airlines Inc.,635437258.0,2011-01-01,11.5600004196167,9.670000076293944,10.109999656677246,9.920000076293944,137974100.0,9.386554718017578,AAL
13,AA,2011-02,41926.0,39193.0,6070710.0,4571804.0,786667.0,6588658.0,5660913.0,2011,2,American Airlines Inc.,590299651.0,2011-02-01,10.210000038146973,8.159999847412111,9.970000267028807,8.609999656677246,180533900.0,8.147000312805176,AAL
14,AA,2011-03,46871.0,46045.0,7122306.0,5732669.0,818455.0,7642612.0,6609165.0,2011,3,American Airlines Inc.,654172333.0,2011-03-01,9.380000114440918,7.710000038146973,8.560000419616701,8.710000038146973,176860200.0,8.241623878479004,AAL
15,AA,2011-04,45428.0,44244.0,6818378.0,5528658.0,955543.0,7401326.0,6362600.0,2011,4,American Airlines Inc.,617258502.0,2011-04-01,9.15999984741211,7.760000228881836,9.079999923706056,9.09000015258789,118655300.0,8.601189613342285,AAL
16,AA,2011-05,46490.0,43938.0,6774485.0,5721347.0,929548.0,7329667.0,6293246.0,2011,5,American Airlines Inc.,601287642.0,2011-05-01,10.350000381469727,8.979999542236328,9.239999771118164,9.100000381469727,145480000.0,8.610650062561035,AAL
17,AA,2011-06,46001.0,44960.0,6904698.0,5942201.0,788276.0,7372363.0,6317557.0,2011,6,American Airlines Inc.,606567564.0,2011-06-01,9.34000015258789,7.940000057220459,9.079999923706056,8.90999984741211,141200400.0,8.430869102478027,AAL
18,AA,2011-07,47433.0,46436.0,7123335.0,6145183.0,726179.0,7575840.0,6478774.0,2011,7,American Airlines Inc.,628251208.0,2011-07-01,9.149999618530273,5.769999980926514,9.020000457763672,6.239999771118164,139132400.0,5.904445171356201,AAL
19,AA,2011-08,47160.0,45563.0,6992701.0,5797772.0,799073.0,7412806.0,6339327.0,2011,8,American Airlines Inc.,662343409.0,2011-08-01,6.429999828338622,4.949999809265137,6.4000000953674325,5.5900001525878915,196161700.0,5.28939962387085,AAL
20,AA,2011-09,43780.0,43431.0,6686974.0,5359746.0,778563.0,7050000.0,6057585.0,2011,9,American Airlines Inc.,604074436.0,2011-09-01,6.570000171661378,4.679999828338623,5.539999961853027,5.5,168818400.0,5.2042388916015625,AAL
21,AA,2011-10,44609.0,44383.0,6814977.0,5674796.0,727689.0,7172058.0,6176900.0,2011,10,American Airlines Inc.,617588683.0,2011-10-01,6.480000019073486,4.53000020980835,5.440000057220459,5.769999980926514,137641800.0,5.4597206115722665,AAL
22,AA,2011-11,41544.0,41373.0,6371046.0,5292957.0,750478.0,6795659.0,5870119.0,2011,11,American Airlines Inc.,569587553.0,2011-11-01,5.730000019073486,3.9600000381469727,5.570000171661377,4.71999979019165,132293300.0,4.4661827087402335,AAL
23,AA,2011-12,43027.0,42758.0,6625155.0,5273683.0,779237.0,7104852.0,6129296.0,2011,12,American Airlines Inc.,627736547.0,2011-12-01,6.230000019073486,4.820000171661377,4.900000095367432,5.070000171661377,150580600.0,4.797362804412842,AAL
24,AA,2012-01,43864.0,43146.0,6683918.0,5053597.0,724554.0,7100659.0,6127255.0,2012,1,American Airlines Inc.,317344085.0,2012-01-01,8.789999961853027,4.96999979019165,5.199999809265137,8.439999580383299,185238100.0,7.986140727996826,AAL
25,AA,2012-02,41912.0,41447.0,6423486.0,4913168.0,715125.0,6806388.0,5880656.0,2012,2,American Airlines Inc.,281410386.0,2012-02-01,9.90999984741211,6.9000000953674325,8.470000267028809,7.4099998474121085,180522000.0,7.0115299224853525,AAL
26,AA,2012-03,46297.0,45574.0,7080074.0,5861305.0,795548.0,7466780.0,6423686.0,2012,3,American Airlines Inc.,340587052.0,2012-03-01,7.96999979019165,6.78000020980835,7.449999809265138,7.5900001525878915,157353600.0,7.181849956512451,AAL
27,AA,2012-04,44049.0,42429.0,6569276.0,5467083.0,803218.0,6952083.0,5998502.0,2012,4,American Airlines Inc.,350930021.0,2012-04-01,10.4399995803833,7.4099998474121085,7.5900001525878915,10.260000228881836,182375100.0,9.708271980285645,AAL
28,AA,2012-05,45384.0,45085.0,6980622.0,5885590.0,778845.0,7393150.0,6331562.0,2012,5,American Airlines Inc.,407824957.0,2012-05-01,13.359999656677244,9.649999618530273,10.279999732971193,13.220000267028807,187875000.0,12.509099960327148,AAL
29,AA,2012-06,43818.0,43178.0,6668927.0,5834710.0,811214.0,7050637.0,6024277.0,2012,6,American Airlines Inc.,460306736.0,2012-06-01,13.800000190734865,11.119999885559082,13.010000228881836,13.329999923706055,194296500.0,12.613184928894045,AAL
30,AA,2012-07,45059.0,44521.0,6846857.0,5938937.0,835540.0,7370575.0,6284650.0,2012,7,American Airlines Inc.,477298830.0,2012-07-01,14.510000228881836,10.59000015258789,13.43000030517578,11.460000038146973,196980100.0,10.843741416931152,AAL
31,AA,2012-08,44872.0,44035.0,6761845.0,5745713.0,797572.0,7282953.0,6208859.0,2012,8,American Airlines Inc.,437594283.0,2012-08-01,11.75,9.739999771118164,11.289999961853027,10.65999984741211,172003900.0,10.086763381958008,AAL
32,AA,2012-09,41980.0,40695.0,6261443.0,4981835.0,713939.0,6808088.0,5752923.0,2012,9,American Airlines Inc.,399447717.0,2012-09-01,12.479999542236328,10.149999618530273,10.609999656677246,10.460000038146973,138223400.0,9.897518157958984,AAL
33,AA,2012-10,43276.0,42096.0,6447108.0,5364544.0,710204.0,6958987.0,5917234.0,2012,10,American Airlines Inc.,422850406.0,2012-10-01,12.630000114440918,10.31999969482422,10.350000381469727,12.18000030517578,119547300.0,11.5250244140625,AAL
34,AA,2012-11,42042.0,41708.0,6401649.0,5249822.0,702647.0,6880143.0,5888344.0,2012,11,American Airlines Inc.,391678109.0,2012-11-01,13.1899995803833,11.520000457763672,12.170000076293945,12.890000343322756,114252000.0,12.196845054626465,AAL
35,AA,2012-12,44908.0,44057.0,6733680.0,5398006.0,776394.0,7428961.0,6350234.0,2012,12,American Airlines Inc.,445275123.0,2012-12-01,13.75,11.970000267028807,12.920000076293945,13.5,113671300.0,12.774041175842285,AAL
36,AA,2013-01,44975.0,44118.0,6690869.0,5211513.0,719333.0,7362334.0,6326309.0,2013,1,American Airlines Inc.,635543959.0,2013-01-01,15.640000343322756,13.600000381469727,13.720000267028807,14.279999732971193,148165800.0,13.51209831237793,AAL
37,AA,2013-02,40907.0,40078.0,6062340.0,4836985.0,711508.0,6683220.0,5745537.0,2013,2,American Airlines Inc.,551540007.0,2013-02-01,15.399999618530273,12.699999809265135,14.43000030517578,13.43000030517578,193396500.0,12.707806587219238,AAL
38,AA,2013-03,45766.0,45339.0,6822747.0,5688958.0,758245.0,7546380.0,6494466.0,2013,3,American Airlines Inc.,633882032.0,2013-03-01,17.430000305175778,13.31999969482422,13.369999885559082,16.969999313354492,187166700.0,16.05744743347168,AAL
39,AA,2013-04,44440.0,43474.0,6478549.0,5400499.0,788615.0,7258623.0,6203979.0,2013,4,American Airlines Inc.,600458967.0,2013-04-01,17.129999160766598,15.029999732971193,17.020000457763672,16.899999618530273,152135500.0,15.991209030151367,AAL
40,AA,2013-05,46039.0,45435.0,6755912.0,5737817.0,830959.0,7555979.0,6451778.0,2013,5,American Airlines Inc.,611071738.0,2013-05-01,19.700000762939453,16.600000381469727,16.90999984741211,17.569999694824222,127394000.0,16.625181198120114,AAL
41,AA,2013-06,45539.0,44900.0,6674091.0,5842120.0,832027.0,7439429.0,6324442.0,2013,6,American Airlines Inc.,636985126.0,2013-06-01,18.200000762939453,15.59000015258789,17.540000915527347,16.420000076293945,104045500.0,15.537020683288574,AAL
42,AA,2013-07,47534.0,46658.0,6931424.0,5986657.0,813058.0,7704713.0,6548992.0,2013,7,American Airlines Inc.,660121278.0,2013-07-01,19.489999771118164,16.040000915527347,16.5,19.350000381469727,117959400.0,18.30946159362793,AAL
43,AA,2013-08,47126.0,46608.0,6924021.0,5791697.0,816879.0,7628295.0,6518303.0,2013,8,American Airlines Inc.,620134995.0,2013-08-01,19.59000015258789,15.279999732971193,19.440000534057614,16.15999984741211,218655000.0,15.291000366210938,AAL
44,AA,2013-09,43255.0,43004.0,6370496.0,5030122.0,738415.0,6965672.0,5953363.0,2013,9,American Airlines Inc.,559901268.0,2013-09-01,19.479999542236328,16.110000610351562,16.379999160766598,18.959999084472656,90979900.0,17.9404296875,AAL
45,AA,2013-10,45314.0,45270.0,6705794.0,5558825.0,720569.0,7379761.0,6318335.0,2013,10,American Airlines Inc.,544022595.0,2013-10-01,23.15999984741211,18.979999542236328,18.979999542236328,21.96999931335449,125759100.0,20.78856658935547,AAL
46,AA,2013-11,43314.0,42641.0,6379218.0,5062179.0,759797.0,7011511.0,6030532.0,2013,11,American Airlines Inc.,482203233.0,2013-11-01,25.489999771118164,21.600000381469727,22.040000915527344,23.479999542236328,245060000.0,22.21737289428711,AAL
47,AA,2013-12,45859.0,42887.0,6473474.0,5400062.0,772773.0,7313377.0,6247357.0,2013,12,American Airlines Inc.,455909078.0,2013-12-01,27.20000076293945,21.450000762939453,23.54999923706055,25.25,326931400.0,23.892189025878906,AAL
48,AA,2014-01,45558.0,43981.0,6611615.0,5242462.0,771952.0,7392960.0,6320660.0,2014,1,American Airlines Inc.,351121741.0,2014-01-01,34.200000762939446,25.059999465942386,25.06999969482422,33.549999237060554,290291800.0,31.745859146118164,AAL
49,AA,2014-02,41210.0,39249.0,5896562.0,4839965.0,756584.0,6675939.0,5689220.0,2014,2,American Airlines Inc.,309871178.0,2014-02-01,37.27999877929688,33.049999237060554,33.950000762939446,36.93000030517578,197511500.0,34.94409942626953,AAL
50,AA,2014-03,46417.0,45547.0,6826735.0,5764500.0,753081.0,7705792.0,6584550.0,2014,3,American Airlines Inc.,370033171.0,2014-03-01,39.88000106811523,35.02000045776367,36.16999816894531,36.599998474121094,194519600.0,34.63184356689453,AAL
51,AA,2014-04,43769.0,43634.0,6497105.0,5530368.0,752505.0,7364331.0,6314569.0,2014,4,American Airlines Inc.,352802765.0,2014-04-01,38.900001525878906,31.86000061035156,36.95000076293945,35.06999969482422,256325500.0,33.184120178222656,AAL
52,AA,2014-05,45984.0,44918.0,6686925.0,5811266.0,889879.0,7536157.0,6424930.0,2014,5,American Airlines Inc.,397241638.0,2014-05-01,40.33000183105469,35.470001220703125,35.86000061035156,40.15999984741211,193159300.0,38.00041198730469,AAL
53,AA,2014-06,46170.0,45663.0,6783822.0,5984529.0,837641.0,7712434.0,6515801.0,2014,6,American Airlines Inc.,399212661.0,2014-06-01,44.88000106811523,38.849998474121094,40.0,42.959999084472656,335502400.0,40.64982986450195,AAL
54,AA,2014-07,47726.0,47132.0,6999870.0,6177389.0,805586.0,7966133.0,6751998.0,2014,7,American Airlines Inc.,580459082.0,2014-07-01,44.0,37.900001525878906,43.43999862670898,38.849998474121094,265201400.0,36.76084899902344,AAL
55,AA,2014-08,46428.0,45971.0,6826635.0,5889791.0,834588.0,7745099.0,6550261.0,2014,8,American Airlines Inc.,518931892.0,2014-08-01,41.0,35.22999954223633,38.75,38.88000106811523,178929000.0,36.88249588012695,AAL
