,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,unique_carrier_name,origin_airport_id,origin,dest_airport_id,dest,aircraft_type,year,quarter,month,seats_v1,passengers_v1,null_seats,null_seats_prop,day_per_departures_perf,distance_grouped,is_overbooked,distance_per_departures
52,51.0,51.0,1797130.0,7200,6480,3026.0,18130.0,862.0,7191.0,5871.0,UA,United Air Lines Inc.,11292,DEN  ,12892,LAX  ,694,2013,3,7,141,127,14,0.1,1.7,0,0,16.9
53,55.0,55.0,2057000.0,8250,7515,0.0,0.0,2465.0,19912.0,18447.0,B6,JetBlue Airways,12478,JFK  ,12954,LGB  ,694,2013,1,3,150,137,13,0.09,1.83,1,0,44.82
54,1.0,0.0,0.0,0,0,0.0,0.0,2227.0,0.0,0.0,UA,United Air Lines Inc.,12889,LAS  ,11618,EWR  ,612,2017,2,6,0,0,0,0.0,0.0,0,0,0.0
55,0.0,0.0,0.0,0,0,0.0,0.0,253.0,0.0,0.0,DL,Delta Air Lines Inc.,12339,IND  ,14275,PTK  ,655,2014,1,1,0,0,0,0.0,0.0,0,0,0.0
56,0.0,0.0,0.0,0,0,0.0,0.0,4271.0,0.0,0.0,DL,Delta Air Lines Inc.,11973,GPT  ,12173,HNL  ,622,2014,1,1,0,0,0,0.0,0.0,0,0,0.0
57,1.0,0.0,0.0,0,0,0.0,0.0,547.0,0.0,0.0,DL,Delta Air Lines Inc.,11278,DCA  ,10397,ATL  ,656,2017,4,12,0,0,0,0.0,0.0,0,0,0.0
58,69.0,69.0,2580600.0,10350,7949,107.0,0.0,1046.0,11179.0,9872.0,B6,JetBlue Airways,14843,SJU  ,11697,FLL  ,694,2013,1,1,150,115,35,0.23,2.3,0,1,15.16
59,71.0,71.0,2655400.0,10650,8856,900.0,0.0,1074.0,10841.0,9522.0,B6,JetBlue Airways,14635,RSW  ,12478,JFK  ,694,2013,1,1,150,125,25,0.17,2.37,0,1,15.13
60,0.0,0.0,0.0,0,0,0.0,0.0,551.0,0.0,0.0,DL,Delta Air Lines Inc.,13204,MCO  ,13495,MSY  ,655,2014,1,1,0,0,0,0.0,0.0,0,0,0.0
61,84.0,81.0,3029400.0,12150,10843,0.0,0.0,1035.0,14607.0,12336.0,B6,JetBlue Airways,12953,LGA  ,14027,PBI  ,694,2013,1,2,150,134,16,0.11,2.7,0,0,12.78
62,2.0,0.0,0.0,0,0,0.0,0.0,821.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,13871,OMA  ,656,2017,1,1,0,0,0,0.0,0.0,0,0,0.0
63,90.0,87.0,2279400.0,8700,6928,767.0,0.0,273.0,6020.0,4101.0,B6,JetBlue Airways,12478,JFK  ,14321,PWM  ,678,2013,2,4,100,80,20,0.2,2.9,0,1,3.14
64,93.0,92.0,3440800.0,13800,10311,0.0,0.0,353.0,7110.0,5360.0,B6,JetBlue Airways,12954,LGB  ,13796,OAK  ,694,2013,4,12,150,112,38,0.25,3.07,0,1,3.84
65,112.0,0.0,0.0,0,0,0.0,0.0,240.0,0.0,0.0,DL,Delta Air Lines Inc.,11481,ECP  ,10397,ATL  ,819,2013,4,12,0,0,0,0.0,0.0,0,0,0.0
66,0.0,0.0,0.0,0,0,0.0,0.0,192.0,0.0,0.0,DL,Delta Air Lines Inc.,12191,HOU  ,14683,SAT  ,655,2014,1,1,0,0,0,0.0,0.0,0,0,0.0
67,123.0,123.0,4600200.0,18450,13769,50.0,0.0,231.0,8062.0,5228.0,B6,JetBlue Airways,12889,LAS  ,12954,LGB  ,694,2013,3,9,150,112,38,0.25,4.1,0,1,1.88
68,291.0,289.0,10808600.0,43350,37165,5442.0,0.0,944.0,49690.0,39836.0,B6,JetBlue Airways,12478,JFK  ,13204,MCO  ,694,2013,2,4,150,129,21,0.14,9.63,0,0,3.27
69,1.0,0.0,0.0,0,0,0.0,0.0,448.0,0.0,0.0,DL,Delta Air Lines Inc.,15016,STL  ,13487,MSP  ,698,2014,1,1,0,0,0,0.0,0.0,0,0,0.0
70,1.0,0.0,0.0,0,0,0.0,0.0,965.0,0.0,0.0,UA,United Air Lines Inc.,11697,FLL  ,12266,IAH  ,612,2014,1,1,0,0,0,0.0,0.0,0,0,0.0
